[23/11/21] [17:18:24] ID: 39501, BUY NAME: Misha Tagilov, PRICE: 15000000, VEHICLE NAME: amggt63s
[26/11/21] [10:15:08] ID: 39301, BUY NAME: John Lazzaro, PRICE: 9500000, VEHICLE NAME: rculi
[26/11/21] [14:25:04] ID: 39203, BUY NAME: Tommi Olivaros, PRICE: 12500000, VEHICLE NAME: lp700
[26/11/21] [14:41:31] ID: 38685, BUY NAME: Flame Flame, PRICE: 8850000, VEHICLE NAME: Volatus
[26/11/21] [17:21:26] ID: 6672, BUY NAME: Tommi Olivaros, PRICE: 19690, VEHICLE NAME: Vortex
[26/11/21] [17:27:10] ID: 2999, BUY NAME: Tommi Olivaros, PRICE: 1390000, VEHICLE NAME: Frogger
[26/11/21] [17:37:19] ID: 38686, BUY NAME: John Lazzaro, PRICE: 8850000, VEHICLE NAME: Volatus
[27/11/21] [17:30:05] ID: 39221, BUY NAME: Alexandr Ksoxz, PRICE: 9000000, VEHICLE NAME: g500
[28/11/21] [00:22:04] ID: 6261, BUY NAME: Alexandr Ksoxz, PRICE: 136000, VEHICLE NAME: Guardian
[29/11/21] [13:03:02] ID: 5710, BUY NAME: Alexandr Ksoxz, PRICE: 3400000, VEHICLE NAME: Deveste
[29/11/21] [21:05:12] ID: 39198, BUY NAME: Alexandr Ksoxz, PRICE: 7500000, VEHICLE NAME: x5m
[02/12/21] [13:30:51] ID: 39204, BUY NAME: Tommi Olivaros, PRICE: 12500000, VEHICLE NAME: lp700
[02/12/21] [14:58:52] ID: 39303, BUY NAME: Tommi Olivaros, PRICE: 9500000, VEHICLE NAME: rculi
[02/12/21] [15:45:27] ID: 39502, BUY NAME: Alexandr Ksoxz, PRICE: 7500000, VEHICLE NAME: amggt63s
[03/12/21] [15:53:55] ID: 39205, BUY NAME: Aleksandr Dmitryev, PRICE: 12500000, VEHICLE NAME: lp700
[03/12/21] [16:12:03] ID: 3025, BUY NAME: Aleksandr Dmitryev, PRICE: 2300000, VEHICLE NAME: Luxor
[03/12/21] [16:27:40] ID: 2988, BUY NAME: Aleksandr Dmitryev, PRICE: 69540, VEHICLE NAME: Tropic
[04/12/21] [10:02:05] ID: 39503, BUY NAME: Tommi Olivaros, PRICE: 7500000, VEHICLE NAME: amggt63s
[04/12/21] [17:26:26] ID: 39562, BUY NAME: Misha Tagilov, PRICE: 37000000, VEHICLE NAME: rmodbugatti
[04/12/21] [22:32:41] ID: 6261, BUY NAME: Alexandr Ksoxz, PRICE: 136000, VEHICLE NAME: Guardian
[04/12/21] [22:57:35] ID: 39563, BUY NAME: Alexandr Ksoxz, PRICE: 37000000, VEHICLE NAME: rmodbugatti
